City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
avarua,CK,-21.21,-159.78,75.2,57,95,6.93
port alfred,ZA,-33.59,26.89,53.04,43,47,5.7
salalah,OM,17.02,54.09,80.6,94,75,3.36
fez,MA,34.04,-5,82.4,45,0,10.29
talnakh,RU,69.49,88.4,48.2,93,75,8.95
alta floresta,BR,-9.88,-56.09,72.16,41,0,2.66
rikitea,PF,-23.12,-134.97,74.37,85,100,9.08
constitucion,CL,-35.33,-72.42,52.5,85,22,7.65
laguna,US,38.42,-121.42,93.2,28,1,9.17
cabedelo,BR,-6.98,-34.83,73.4,94,20,5.82
vila franca do campo,PT,37.72,-25.43,68,68,75,10.29
puerto ayora,EC,-0.74,-90.35,68,87,87,5.99
port macquarie,AU,-31.43,152.92,62.01,59,4,19.46
honningsvag,NO,70.98,25.97,50.63,84,100,4.25
yellowknife,CA,62.46,-114.35,63,63,75,14.99
thinadhoo,MV,0.53,72.93,84.47,68,100,5.14
carnarvon,AU,-24.87,113.63,69.8,56,90,9.17
burica,NA,NA,NA,NA,NA,NA,NA
illoqqortoormiut,NA,NA,NA,NA,NA,NA,NA
buhovo,BG,42.77,23.57,62.6,67,75,5.82
dikson,RU,73.51,80.55,40.19,96,100,4.99
port elizabeth,ZA,-33.92,25.57,42.8,87,1,4.7
velikooktyabrskiy,RU,57.43,33.82,52.81,97,100,10.33
sitka,US,57.05,-135.33,62.6,77,90,5.82
bluff,NZ,-46.6,168.33,44.89,76,21,12.53
touros,BR,-5.2,-35.46,75.2,94,40,4.7
kasama,ZM,-10.21,31.18,52.29,46,0,8.46
mayo,US,38.89,-76.51,82.4,74,1,19.46
zhangye,CN,38.93,100.45,73.81,44,100,10.58
albany,US,42.6,-73.97,79,62,40,3.4
beira,MZ,-19.84,34.84,68,64,75,19.46
vaini,TO,-21.2,-175.2,77,78,75,10.29
inirida,CO,3.87,-67.92,73.71,93,100,1.59
pundri,IN,29.75,76.55,88.88,56,66,11.72
nikolskoye,RU,59.7,30.79,59,72,20,8.95
hithadhoo,MV,-0.6,73.08,83.77,72,100,4.94
kondagaon,IN,19.6,81.67,73.63,93,76,4.25
ilulissat,GL,69.22,-51.1,46.4,70,69,3.36
cape town,ZA,-33.93,18.42,43,87,0,1.12
nuuk,GL,64.18,-51.72,48.2,66,40,6.93
kodiak,US,57.79,-152.41,69.8,52,20,5.82
pearl,US,32.27,-90.13,91.4,69,75,20.8
mataura,NZ,-46.19,168.86,44.24,75,30,3.06
kavieng,PG,-2.57,150.8,84.69,65,7,3.83
medveda,RU,56.51,92.41,57.2,71,5,6.71
vila do maio,CV,15.13,-23.22,77,78,20,6.93
arraias,BR,-12.93,-46.94,70.02,40,0,6.11
saleaula,NA,NA,NA,NA,NA,NA,NA
moerai,PF,-22.43,-151.33,69.82,80,100,20.04
boyolangu,ID,-8.12,111.89,76.82,82,87,8.01
nirmali,IN,26.32,86.58,81.81,84,40,9.46
khatanga,RU,71.97,102.5,54.64,77,100,9.91
ushuaia,AR,-54.8,-68.3,28.4,86,0,10.29
adre,TD,13.47,22.2,71.78,88,100,11.81
paldiski,EE,59.36,24.05,57.2,82,100,5.82
tombouctou,ML,20,-3,94.89,33,100,18.54
katunino,RU,64.39,40.63,48.2,93,20,6.71
kaitangata,NZ,-46.28,169.85,46.99,76,39,1.99
yulara,AU,-25.24,130.99,50,39,0,5.82
new norfolk,AU,-42.78,147.06,46.99,87,97,0.69
miles city,US,46.41,-105.84,82.4,17,1,12.75
jamestown,US,42.1,-79.24,78.8,47,1,4.7
lagoa,PT,39.05,-27.98,68.27,81,100,13.49
ballater,GB,57.05,-3.04,55,74,100,5.99
garowe,SO,8.41,48.48,77.94,61,80,24.38
pimentel,PE,-6.84,-79.93,62.17,89,31,12.93
punta arenas,CL,-53.15,-70.92,33.8,86,1,4.7
chiredzi,ZW,-21.05,31.67,50.83,87,0,7.23
gizo,SB,-8.1,156.84,83.88,73,86,11.63
saldanha,ZA,-33.01,17.94,46.4,70,0,2.24
camacha,PT,33.08,-16.33,68,72,75,10.29
thompson,CA,55.74,-97.86,62.6,93,75,10.29
sur,OM,22.57,59.53,86.07,61,100,6.22
tsihombe,NA,NA,NA,NA,NA,NA,NA
grand river south east,NA,NA,NA,NA,NA,NA,NA
sibolga,ID,1.74,98.78,79.03,79,0,2.86
castro,BR,-24.79,-50.01,49.66,93,0,6.67
vaitupu,NA,NA,NA,NA,NA,NA,NA
verkhniye tatyshly,RU,56.29,55.86,67.8,77,0,7.43
hofn,IS,64.25,-15.21,51.22,92,100,13.71
santa rosa,PH,14.31,121.11,87.01,72,26,1.01
severo-kurilsk,RU,50.68,156.12,53.94,86,92,6.85
mehamn,NO,71.04,27.85,55.29,70,62,7.18
nanortalik,GL,60.14,-45.24,42.51,88,10,7.92
pucallpa,PE,-8.38,-74.55,75.2,88,75,3.36
porto santo,PT,33.07,-16.34,68,72,75,10.29
saint george,US,37.1,-113.58,104,10,1,14.99
bukama,CD,-9.2,25.85,66.58,29,73,2.77
riyadh,SA,24.69,46.72,95,17,0,5.82
vardo,NO,70.37,31.11,54.45,69,0,10.13
busselton,AU,-33.65,115.33,61,95,14,21.74
lysa hora,UA,48.17,31.11,56.97,79,0,1.88
georgetown,MY,5.41,100.34,80.6,100,20,2.24
barrow,US,71.29,-156.79,44.6,75,1,9.17
norman wells,CA,65.28,-126.83,77,38,75,8.05
taolanaro,NA,NA,NA,NA,NA,NA,NA
chuy,UY,-33.7,-53.46,41.49,74,0,3.91
hilo,US,19.73,-155.09,84.2,62,20,9.17
codrington,AU,-38.27,141.97,50.86,77,0,5.19
gat,IL,31.61,34.76,75,71,1,0.45
sinop,TR,41.77,34.87,62.69,88,100,2.42
irmo,US,34.09,-81.18,87.8,55,75,6.93
ribeira grande,PT,38.52,-28.7,69.42,81,100,3.83
sedalia,US,38.7,-93.23,79,65,1,12.75
wajid,SO,3.81,43.25,72.72,74,100,17.74
pointe-noire,CG,-4.78,11.86,71.6,88,26,2.24
krasnoselkup,RU,65.7,82.47,54.91,96,100,7.56
port lincoln,AU,-34.73,135.87,57.67,70,0,8.08
bossangoa,CF,6.49,17.46,69.71,94,100,2.42
lander,US,42.83,-108.73,87.8,10,1,3.36
arraial do cabo,BR,-22.97,-42.03,67.53,73,98,9.78
chokurdakh,RU,70.63,147.92,37.67,91,100,12.59
marsh harbour,BS,26.54,-77.06,84.07,71,3,7.52
upernavik,GL,72.79,-56.15,42.39,90,49,1.32
price,US,39.6,-110.81,93.2,12,1,12.75
hanzhong,CN,33.07,107.03,70.41,87,99,0.78
tumut,AU,-35.3,148.22,49.35,62,0,3.02
oxapampa,PE,-10.58,-75.4,59.2,90,99,1.5
hermanus,ZA,-34.42,19.23,44.01,84,25,6.08
esperance,AU,-33.87,121.9,50,76,0,14.99
brumado,BR,-14.2,-41.67,69.55,61,23,6.17
conceicao do araguaia,BR,-8.26,-49.26,75.76,45,0,1.95
kapaa,US,22.08,-159.32,82.4,69,20,11.41
koumac,NC,-20.57,164.28,72.09,51,0,8.3
hobart,AU,-42.88,147.33,48,81,75,5.82
ongandjera,NA,-17.88,15.07,53.02,36,0,15.28
faanui,PF,-16.48,-151.75,78.3,85,10,15.57
vila velha,BR,-20.33,-40.29,69.01,94,90,9.17
karpathos,GR,35.51,27.21,73.4,69,0,29.97
yarmouth,US,41.71,-70.23,66.2,72,1,5.82
qaanaaq,GL,77.48,-69.36,41.7,84,100,3.76
lahad datu,MY,5.03,118.33,82.69,71,100,1.74
takab,IR,36.4,47.11,58.35,65,0,3.91
nkan,GA,0.38,9.78,77,83,75,6.93
faya,SA,18.39,42.45,75.2,27,40,4.7
mokrous,RU,51.23,47.52,61.23,81,24,1.59
tual,ID,-5.67,132.75,78.94,85,10,19.98
mar del plata,AR,-38,-57.56,46.99,80,0,6.93
anadyr,RU,64.75,177.48,57.2,82,20,15.66
kalmunai,LK,7.42,81.82,79.97,80,100,8.79
paita,PE,-5.09,-81.11,63.09,84,0,12.64
pisco,PE,-13.7,-76.22,60.8,87,90,5.82
coquimbo,CL,-29.95,-71.34,53.6,76,90,3.36
ostrovnoy,RU,68.05,39.51,51.37,75,0,9.66
meadow lake,US,34.8,-106.54,84.2,26,75,26.4
bambous virieux,MU,-20.34,57.76,68,88,75,11.41
mys shmidta,NA,NA,NA,NA,NA,NA,NA
bolshegrivskoye,NA,NA,NA,NA,NA,NA,NA
caramay,PH,10.18,119.24,84.4,70,99,1.07
acarau,BR,-2.89,-40.12,76.77,82,0,12.35
stawell,AU,-37.05,142.77,49.77,73,0,6.71
marijampole,LT,54.57,23.35,51.8,81,0,2.24
kuching,MY,1.55,110.33,77,94,20,2.24
skelleftea,SE,64.75,20.95,48.2,100,2,2.24
katsuura,JP,35.13,140.3,71.01,81,100,3
pevek,RU,69.7,170.31,45.18,87,100,2.04
fare,PF,-16.7,-151.02,79.36,80,74,14
conde,BR,-7.26,-34.91,73.4,94,20,5.82
marsa matruh,EG,31.35,27.25,75,71,0,9.57
provideniya,RU,64.38,-173.3,50,81,90,11.18
esil,KZ,51.96,66.4,67.6,61,0,7.78
kysyl-syr,RU,63.9,122.76,79.56,42,100,5.84
puerto escondido,MX,15.85,-97.07,84.2,74,75,1.95
itarema,BR,-2.92,-39.92,76.89,81,6,12.75
malayal,PH,7.21,121.94,83.95,71,100,2.55
clyde river,CA,70.47,-68.59,62.6,45,1,13.87
kazalinsk,NA,NA,NA,NA,NA,NA,NA
gangotri,NA,NA,NA,NA,NA,NA,NA
buqayq,NA,NA,NA,NA,NA,NA,NA
saint-philippe,RE,-21.36,55.77,69.8,63,37,5.82
dudinka,RU,69.41,86.18,48.2,93,75,8.95
gannan,CN,47.91,123.5,89.71,37,24,7.29
kruisfontein,ZA,-34,24.73,43.14,60,81,4.09
omboue,GA,-1.57,9.26,71.49,89,100,2.86
esna,EG,25.29,32.55,84.79,18,0,12.48
khlevnoye,RU,52.2,39.09,55.4,76,100,8.95
dom pedro,BR,-4.48,-44.45,74.39,75,5,2.53
attawapiskat,NA,NA,NA,NA,NA,NA,NA
sao joao da barra,BR,-21.64,-41.05,68.14,78,100,9.06
bethel,US,41.37,-73.41,72,73,1,6.93
zhigansk,RU,66.77,123.37,70.56,51,0,1.5
saskylakh,RU,71.92,114.08,64.81,40,95,19.64
hoyanger,NO,61.22,6.07,55.4,93,16,2.42
dumai,ID,1.68,101.45,75.79,92,71,1.19
ozgon,NA,NA,NA,NA,NA,NA,NA
narsaq,GL,60.92,-46.05,51.8,66,2,4.7
hasaki,JP,35.73,140.83,70,88,75,8.05
beringovskiy,RU,63.05,179.32,57.69,70,0,3.31
orangeburg,US,33.49,-80.86,84.99,74,1,5.82
leningradskiy,RU,69.38,178.42,47.48,74,100,15.99
champerico,GT,14.3,-91.92,82.94,69,5,1.97
tiksi,RU,71.69,128.87,37.27,85,58,21.25
ponta do sol,PT,32.67,-17.1,69.8,68,20,10.29
ponnani,IN,10.77,75.93,75.2,88,90,3.36
bredasdorp,ZA,-34.53,20.04,35.6,93,10,3.36
sentyabrskiy,NA,NA,NA,NA,NA,NA,NA
lompoc,US,34.64,-120.46,66.2,68,4,14.99
ust-nera,RU,64.57,143.2,65.62,43,85,3.06
fort nelson,CA,58.81,-122.7,71.6,43,75,4.7
tuktoyaktuk,CA,69.45,-133.04,59,58,75,9.17
karlstad,SE,59.38,13.5,57.99,100,99,3.69
torbay,CA,47.67,-52.73,50,100,90,13.87
agadez,NE,19.75,10.25,82.87,15,0,6.55
zhaozhou,CN,45.68,125.32,86.76,46,89,8.12
sangar,RU,63.92,127.47,74.43,43,29,7.16
san cristobal,VE,7.77,-72.22,66.25,92,98,2.84
toliary,NA,NA,NA,NA,NA,NA,NA
artyom,AZ,40.47,50.33,75.2,73,0,6.93
luderitz,NA,-26.65,15.16,73.4,12,0,23.04
khamgaon,IN,20.68,76.57,76.75,91,85,3.02
tevriz,RU,57.51,72.4,67.68,84,5,6.46
guerrero negro,MX,27.98,-114.06,72.82,65,15,20.83
east london,ZA,-33.02,27.91,54.36,46,0,5.32
amderma,NA,NA,NA,NA,NA,NA,NA
tuatapere,NZ,-46.13,167.68,42.44,71,34,3.22
fria,GN,10.42,-13.58,71.29,100,100,5.03
berbera,SO,10.44,45.01,89.73,44,100,28.9
mezen,RU,65.85,44.24,44.91,82,100,5.97
darnah,LY,32.77,22.64,74.12,78,0,14.63
almaty,KZ,43.25,76.95,72.03,33,2,2.37
marovoay,MG,-16.1,46.63,68,94,0,3.36
tahe,CN,52.33,124.73,85.01,44,100,5.17
kieta,PG,-6.22,155.63,84.85,68,6,4.59
lugovoy,KZ,42.95,72.76,70.79,41,0,2.26
victoria,HK,22.29,114.16,90,70,58,13
garmsar,IR,35.22,52.34,75.02,40,42,3.27
butaritari,KI,3.07,172.79,82.58,75,100,12.95
kamaishi,JP,39.27,141.88,62.6,93,75,2.24
airai,TL,-8.93,125.41,66.6,71,55,5.17
makokou,GA,0.57,12.86,68.88,96,100,2.17
okhotsk,RU,59.38,143.3,60.08,86,91,7.76
carthage,TN,36.86,10.33,73.4,64,40,2.24
rosario oeste,BR,-14.84,-56.43,76.82,36,0,2.73
sao filipe,CV,14.9,-24.5,75.22,87,61,6.17
hamilton,US,39.18,-84.53,86,58,1,3.36
kuryk,KZ,43.2,51.65,83.41,55,92,17.18
labuhan,ID,-6.88,112.21,79.03,81,17,6.69
amudat,UG,1.95,34.95,65.86,81,90,1.12
kahului,US,20.89,-156.47,87.8,45,40,20.8
tautira,PF,-17.73,-149.15,78.8,83,75,8.05
changli,CN,39.7,119.15,89.82,39,0,7.4
chamba,IN,32.57,76.13,73.36,61,0,2.42
barentsburg,NA,NA,NA,NA,NA,NA,NA
musoma,TZ,-1.5,33.8,70.7,66,100,6.62
puri,IN,19.8,85.85,78.8,94,40,16.4
ormara,PK,25.21,64.64,84.43,78,75,8.79
haflong,IN,25.18,93.03,75.72,87,90,4.34
cidreira,BR,-30.18,-50.21,49.71,66,0,6.53
nouadhibou,MR,20.93,-17.03,69.8,88,4,11.41
okha,RU,53.57,142.95,69.35,72,100,8.75
gravelbourg,CA,49.88,-106.55,70.14,46,26,17.16
cabo san lucas,MX,22.89,-109.91,91.99,49,5,11.41
mitu,CO,1.2,-70.17,72.41,94,100,1.12
la carolina,ES,38.28,-3.62,79,50,0,3
mazagao,BR,-0.12,-51.29,84.2,74,20,6.93
petrozavodsk,RU,61.78,34.35,57.2,76,100,8.95
machico,PT,32.7,-16.77,69.8,68,20,10.29
rawson,AR,-43.3,-65.1,42.42,70,100,2.39
itoman,JP,26.12,127.67,86,84,75,17.22
lavrentiya,RU,65.58,-171,48.88,83,95,5.37
auki,SB,-8.77,160.7,81.9,67,100,6.53
simao,CN,22.79,100.97,69.67,88,100,2.98
eureka,US,40.8,-124.16,69.01,8,0,5.01
thyboron,DK,56.7,8.21,53.01,64,0,10.16
teahupoo,PF,-17.83,-149.27,78.8,83,75,8.05
mananjary,MG,-21.22,48.33,66.25,90,44,11.88
yuli,NG,9.7,10.27,74.32,86,84,4.09
chapais,CA,49.78,-74.85,69.8,56,90,8.05
mahebourg,MU,-20.41,57.7,68,88,75,11.41
denpasar,ID,-8.65,115.22,78.8,94,40,13.87
moroni,KM,-11.7,43.26,73.35,78,8,21.34
petropavlovsk-kamchatskiy,RU,53.05,158.65,59,87,90,8.95
inuvik,CA,68.35,-133.72,64.4,55,75,4.7
gornopravdinsk,RU,60.05,69.9,71.26,90,100,6.38
abrau-dyurso,RU,44.69,37.59,69.8,49,5,6.71
meyungs,NA,NA,NA,NA,NA,NA,NA
fortuna foothills,US,32.66,-114.41,109.4,15,1,5.82
samalaeulu,NA,NA,NA,NA,NA,NA,NA
kavaratti,IN,10.57,72.64,82.81,78,100,20.65
tumannyy,NA,NA,NA,NA,NA,NA,NA
aksu,CN,41.12,80.26,76.89,35,0,2.89
roald,NO,62.58,6.13,53.6,93,37,3.36
hervey bay,AU,-25.3,152.85,64,47,0,8.99
atuona,PF,-9.8,-139.03,79.34,76,1,16.96
coihaique,CL,-45.58,-72.07,33.8,100,90,2.24
batagay-alyta,RU,67.8,130.41,53.64,50,87,10.83
shimanovsk,RU,52,127.7,86.05,46,100,3.65
wageningen,NL,51.97,5.67,60.01,100,90,1.12
gimli,CA,50.63,-96.99,68.59,77,33,8.84
meulaboh,ID,4.14,96.13,79.09,86,62,4.14
kuusamo,FI,65.97,29.18,48.2,100,39,4.7
san pedro,PH,14.35,121.02,87.01,71,45,3
sambava,MG,-14.27,50.17,68.02,83,0,10.94
chernyshevskiy,RU,63.01,112.47,61.92,79,57,10.83
edgewater,US,28.99,-80.9,80.6,83,75,6.85
harper,LR,4.38,-7.72,75.51,73,100,7.52
turbat,PK,26,63.04,81.79,79,0,4.54
graham,US,47.05,-122.29,84.99,32,1,8.05
yangambi,CD,0.81,24.43,69.96,93,99,0.72
ceske velenice,CZ,48.77,14.96,57,91,68,1.99
muisne,EC,0.6,-80.03,74.77,85,100,7.76
geraldton,AU,-28.77,114.6,60.8,82,90,8.05
port blair,IN,11.67,92.75,80.04,83,100,11.12
deep river,CA,46.1,-77.5,75.2,57,20,8.39
matara,LK,5.95,80.54,77.85,86,100,5.46
saint-pierre,RE,-21.34,55.48,66.2,63,22,5.82
bubaque,GW,11.28,-15.83,78.96,86,100,22.66
mahanje,TZ,-9.93,35.33,55.4,77,23,5.19
lebu,CL,-37.62,-73.65,51.48,91,100,3.76
los llanos de aridane,ES,28.66,-17.92,71.6,73,13,14.99
knysna,ZA,-34.04,23.05,44.6,42,99,4.7
quatre cocos,MU,-20.21,57.76,68,88,75,11.41
san policarpo,PH,12.18,125.51,84.99,71,100,10.04
sisimiut,GL,66.94,-53.67,43.61,78,96,3.33
caravelas,BR,-17.71,-39.25,72.34,83,23,9.78
rawah,IQ,34.48,41.91,83.41,17,0,10.71
qandahar,NA,NA,NA,NA,NA,NA,NA
verkhniy rohachyk,UA,47.25,34.34,61.32,62,0,1.77
camacupa,AO,-12.02,17.48,46.09,49,0,5.1
kastamonu,TR,41.5,33.67,60.62,90,100,1.5
aykhal,RU,66,111.5,62.6,77,90,8.95
broken hill,AU,-31.95,141.43,55.4,43,0,4.94
mitchell,US,43.71,-98.03,80.6,44,1,5.82
louisbourg,NA,NA,NA,NA,NA,NA,NA
avera,US,33.19,-82.53,87.8,74,1,4.7
palabuhanratu,NA,NA,NA,NA,NA,NA,NA
los banos,PH,14.17,121.18,88,70,4,4
daru,PG,-9.08,143.21,78.58,85,90,19.1
klaksvik,FO,62.23,-6.59,51.8,100,100,9.17
grand gaube,MU,-20.01,57.66,66.99,86,0,5.01
matay,EG,28.42,30.78,72.18,78,0,14.76
galiwinku,NA,NA,NA,NA,NA,NA,NA
sioux lookout,CA,50.1,-91.92,73.4,43,75,12.75
pampa,US,35.54,-100.96,91.4,38,1,17.22
miraflores,MX,19.22,-98.81,71.6,46,90,13.87
le port,RE,-20.94,55.29,69.8,68,20,11.41
iquique,CL,-20.22,-70.14,59,77,20,11.41
kirakira,SB,-10.45,161.92,83.43,68,96,2.15
muros,ES,42.78,-9.06,62.01,75,0,7
tuggurt,NA,NA,NA,NA,NA,NA,NA
herat,AF,34.5,62,74.61,37,0,32.57
hualmay,PE,-11.1,-77.61,61.03,84,30,10.31
huejuquilla el alto,MX,22.6,-103.87,75.74,51,39,5.75
necochea,AR,-38.55,-58.74,39.99,81,1,4
belushya guba,NA,NA,NA,NA,NA,NA,NA
novyy urengoy,RU,66.08,76.63,51.75,82,59,29.1
mabaruma,GY,8.2,-59.78,75.52,92,100,3.04
jumla,NP,29.27,82.18,64.4,66,49,0.58
bur gabo,NA,NA,NA,NA,NA,NA,NA
ravar,IR,31.27,56.81,77.61,25,63,3.94
mezobereny,HU,46.82,21.03,55.99,90,0,0.38
vestmannaeyjar,IS,63.44,-20.27,53.04,93,100,21.97
manicore,BR,-5.81,-61.3,75.58,54,0,1.23
safaga,EG,26.73,33.94,83.34,48,0,15.66
port-gentil,GA,-0.72,8.78,74.05,80,100,9.28
olgiate olona,IT,45.64,8.88,64,88,47,4.7
malanje,AO,-9.54,16.34,59.18,33,0,6.62
gedo,ET,9.02,37.45,52.14,100,100,3.04
ahumada,NA,NA,NA,NA,NA,NA,NA
la ronge,CA,55.1,-105.28,66.2,63,75,17.22
karatau,KZ,43.17,70.47,71.11,40,0,3.2
port hardy,CA,50.7,-127.42,71.6,73,75,11.41
nizhniy chir,RU,48.36,43.09,64.92,62,73,4.99
santiago del estero,AR,-27.8,-64.26,51.4,46,16,7.11
umzimvubu,NA,NA,NA,NA,NA,NA,NA
loksa,EE,59.58,25.72,57.2,82,100,5.82
ust-tsilma,RU,65.44,52.15,48.36,75,100,8.19
samusu,NA,NA,NA,NA,NA,NA,NA
sol-iletsk,RU,51.16,54.99,75.88,34,0,8.16
marau,BR,-28.45,-52.2,47.73,69,93,7.02
nakamura,JP,32.98,132.93,77.04,67,100,4
adrar,MR,20.5,-10.07,92.61,23,5,12.75
sobolevo,RU,54.43,31.9,51.93,89,100,13.49
novobiryusinskiy,RU,56.96,97.71,58.71,56,2,6.96
thaba-tseka,LS,-29.52,28.61,26.58,77,0,0.89
te anau,NZ,-45.42,167.72,39.34,72,46,1.03
burnie,AU,-41.07,145.92,51.01,60,24,7
kidal,ML,18.44,1.41,81.7,55,37,7.11
abu samrah,SY,35.3,37.18,71.64,64,0,6.29
townsville,AU,-19.25,146.8,71.6,30,4,4.7
pietarsaari,FI,63.65,22.68,57,93,84,2.24
awbari,LY,26.59,12.78,80.51,24,0,8.25
capreol,CA,46.71,-80.92,69.8,83,90,5.82
saqqez,IR,36.25,46.27,61.38,60,0,2.37
bengkulu,ID,-3.8,102.27,79.9,76,68,3.74
voi,KE,-3.39,38.56,69.21,69,83,12.57
shymkent,KZ,42.3,69.6,77.34,25,0,6.91
cockburn town,TC,21.46,-71.14,81.68,81,100,16.02
blagoyevo,RU,63.37,47.92,51.8,94,100,11.03
fort frances,CA,48.6,-93.4,79,57,1,5.82
stendal,DE,52.6,11.85,55.99,95,39,7.65
peyima,SL,8.7,-11.03,66.63,99,52,2.62
mareeba,AU,-17,145.43,73.4,35,0,10.29
moron,AR,-34.65,-58.62,53.01,64,42,7.92
srednekolymsk,RU,67.45,153.68,47.88,62,99,7.9
honiara,SB,-9.43,159.95,82.4,78,75,9.17
vung tau,VN,10.35,107.08,83.41,75,19,7.09
hambantota,LK,6.12,81.12,77,100,20,4.7
santa cruz do capibaribe,BR,-7.96,-36.2,65.64,95,25,7.56
palmer,US,42.16,-72.33,75.2,64,75,6.93
novichikha,RU,52.2,81.39,60.67,64,19,15.17
vlasotince,RS,42.96,22.12,66.2,77,97,2.24
awjilah,LY,29.11,21.29,77.34,44,0,10.74
tura,IN,25.52,90.22,76.48,93,96,5.97
hazorasp,UZ,41.32,61.07,73.4,49,0,4.7
zhongshu,CN,24.52,103.77,69.01,77,96,9.19
tasiilaq,GL,65.61,-37.64,42.8,81,0,4.7
wlodawa,PL,51.55,23.55,57.99,83,80,4.52
adelaide,AU,-34.93,138.6,55.99,54,20,6.93
midland,US,32,-102.08,104,14,1,12.75
skagastrond,NA,NA,NA,NA,NA,NA,NA
novopokrovka,UA,49.84,36.55,51.8,93,100,2.84
praya,CV,14.92,-23.51,77,78,20,6.93
kedrovyy,RU,56.17,91.82,57.2,71,87,6.71
trapani,IT,37.83,12.67,71.6,83,0,3.36
turukhansk,RU,65.82,87.98,49.71,81,100,11.52
